DSID,process,B prod cross-section (nb),kFactor,Filter efficiency,evtgen,pdg (Use this one),XS * BR * filter eff,nEvents = sum weights for these LO samples,Sample Weight = XS * BR * genEff * lumi /nEvents,Luminosity (nb^-1),,copy-pasteable list for weighting MC,,,,
,,,,,,,,,,37269600,,DSID,Weight,,"tmp Heather weighting partial samples, ignore",
300578,B+ -> K+ ee,1.24E+05,1,9.15E-02,5.50E-07,5.50E-07,6.23E-03,1497000,1.55E-01,3.72696e+10^10 ub-1,,300578,0.155100708,,1497000,0.155100708
300579,B- -> K- ee,1.25E+05,1,9.10E-02,5.50E-07,5.50E-07,6.24E-03,1497000,1.55E-01,3.72696e+10^13 nb-1,,300579,0.1552329403,,1440000,0.1613775775
300580,B+ -> K+ J/psi(ee),1.24E+05,1,8.60E-02,6.02E-05,6.00E-05,6.39E-01,"448,000",5.31E+01,37269600,,300580,53.13992952,,278000,85.63556987
300581,B- -> K- J/psi(ee),1.25E+05,1,8.50E-02,6.02E-05,6.00E-05,6.36E-01,447000,5.30E+01,46204300,,300581,53.00258974,,100000,236.9215762
300582,B+ -> K+ psi(2S) (ee),1.24E+05,1,9.98E-02,4.99E-06,4.79E-06,5.91E-02,148000,1.49E+01,"This value is WRONG, bad read from the lumicalc output",,300582,14.8934064,,148000,14.8934064
300583,B- -> K- psi(2S) (ee),1.24E+05,1,9.87E-02,4.99E-06,4.79E-06,5.89E-02,150000,1.46E+01,,,300583,14.62392011,,150000,14.62392011
300590,B0 -> K*0 ee,1.24E+05,1,5.35E-02,,6.59E-07,4.36E-03,1497500,1.08E-01,,,300590,0.1084890524,,1497500,0.1084890524
300591,B0bar -> anti-K*0 ee,1.25E+05,1,5.29E-02,,6.59E-07,4.34E-03,1497000,1.08E-01,,,300591,0.1081312309,,1497000,0.1081312309
300592,B0 -> K*0 J/psi(ee),1.24E+05,1,5.85E-02,,5.02E-05,3.63E-01,447500,3.03E+01,,,300592,30.26886784,,447500,30.26886784
300593,B0bar -> anti-K*0- J/psi(ee),1.25E+05,1,5.80E-02,,5.02E-05,3.63E-01,449500,3.01E+01,,,300593,30.10189646,,103500,130.7323909
300594,B0 -> K*0 psi(2S) (ee),1.24E+05,1,7.37E-02,,3.03E-06,2.76E-02,150000,6.86E+00,,,300594,6.858636767,,150000,6.858636767
300595,B0bar -> anti-K*0 psi(2S) (ee),1.25E+05,1,7.31E-02,,3.03E-06,2.76E-02,150000,6.87E+00,,,300595,6.869328684,,,#DIV/0!
300706,Bs -> phi ee,2.74E+04,1,6.38E-02,,4.01E-07,7.01E-04,1500000,1.74E-02,,,300706,0.01740721295,,195000,0.1339016381
300707,Bsbar -> phi ee,2.75E+04,1,6.39E-02,,4.01E-07,7.06E-04,1497000,1.76E-02,,,300707,0.01758545439,,100000,0.2632542522
300708,Bs -> phi J/psi(ee),2.74E+04,1,6.71E-02,,3.14E-05,5.77E-02,450000,4.78E+00,,,300708,4.778905133,,114000,18.86409921
300709,Bsbar -> phi J/psi(ee),2.75E+04,1,6.74E-02,,3.14E-05,5.82E-02,450000,4.82E+00,,,300709,4.821425737,,450000,4.821425737
300710,Bs ->phi psi(2S) (ee),2.74E+04,1,8.74E-02,,2.04E-06,4.89E-03,150000,1.22E+00,,,300710,1.215765249,,150000,1.215765249
300711,Bsbar -> phi psi(2S) (ee),2.75E+04,1,8.82E-02,,2.04E-06,4.95E-03,150000,1.23E+00,,,300711,1.229241216,,150000,1.229241216
,,,,,,,,,,,,300718,9.437347339,,100000,0
Background samples,,,,,,,,,,,,300719,9.376707668,,100000,0
,,,,,,,,,,,,300722,0.08744747193,,99000,0
300718,B+ -> pi+ J/psi(ee),1.24E+05,1,8.87E-02,2.91E-06,2.30E-06,2.53E-02,100000,9.44E+00,,,300723,0.08531797745,,100000,0.08531797745
300719,B- -> pi- J/psi(ee),1.25E+05,1,8.78E-02,2.91E-06,2.30E-06,2.52E-02,100000,9.38E+00,,,300724,0.03857312765,,99000,0.0389627552
300722,B+ -> K+ pi0(eeg),1.24E+05,1,1.24E-02,1.51E-07,1.51E-07,2.32E-04,99000,8.74E-02,,,300725,0.03749558039,,100000,0.03712062459
300723,B- -> K- pi0(eeg),1.25E+05,1,1.22E-02,1.51E-07,1.51E-07,2.29E-04,100000,8.53E-02,,,300726,0.0299929032,,99000,0.03029586182
300724,B+ -> pi+ pi0(eeg),1.24E+05,1,1.28E-02,6.69E-08,6.46E-08,1.02E-04,99000,3.86E-02,,,300727,0.02923276308,,100000,0.02894043545
300725,B- -> pi- pi0(eeg),1.25E+05,1,1.25E-02,6.69E-08,6.46E-08,1.01E-04,100000,3.75E-02,,,300730,0.01708777314,,100000,0.01708777314
300726,B+ -> pi+ eta(eeg),1.24E+05,1,2.29E-02,2.85E-08,2.81E-08,7.97E-05,"99,000",3.00E-02,,,300731,0.0169772091,,100000,0.01680743701
300727,B- -> pi- eta(eeg),1.24E+05,1,2.24E-02,2.85E-08,2.81E-08,7.84E-05,100000,2.92E-02,,,300734,167.8552775,,100000,167.8552775
300730,B+ -> K+ eta(eeg),1.24E+05,1,2.21E-02,1.63E-08,1.68E-08,4.58E-05,100000,1.71E-02,,,300735,167.1325331,,100000,167.1325331
300731,B- -> K- eta(eeg),1.25E+05,1,2.18E-02,1.63E-08,1.68E-08,4.56E-05,100000,1.70E-02,,,300738,15.39096283,,98000,15.70506412
300734,B0 -> K+pi- J/psi(ee),1.24E+05,1,5.33E-02,1.19E-05,6.83E-05,4.50E-01,100000,1.68E+02,,,300739,15.1139353,,100000,15.1139353
300735,B0bar -> K-pi+ J/psi(ee),1.25E+05,1,5.27E-02,1.19E-05,6.83E-05,4.48E-01,100000,1.67E+02,,,300742,0.08512096547,,100000,0.08512096547
300738,B0 -> K+pi- psi(2S)(ee),1.24E+05,1,7.31E-02,,4.48E-06,4.05E-02,98000,1.54E+01,,,300743,0.08271385046,,100000,0.08105957345
300739,B0bar -> K-pi+ psi(2S)(ee),1.24E+05,1,7.28E-02,,4.48E-06,4.06E-02,100000,1.51E+01,,,300744,0.05242834304,,100000,0.05242834304
300742,B0 -> K+pi- pi0(eeg),1.24E+05,1,4.16E-03,,4.44E-07,2.28E-04,100000,8.51E-02,,,300745,0.05211962563,,99000,0.05264608649
300743,B0bar -> K-pi+ pi0(eeg),1.25E+05,1,4.01E-03,,4.44E-07,2.22E-04,100000,8.27E-02,,,300748,0.01049976498,,100000,0.01049976498
300744,B0 -> K*0 eta(eeg),1.24E+05,1,1.53E-02,,7.41E-08,1.41E-04,100000,5.24E-02,,,300749,0.01035883657,,100000,0.01035883657
300745,B0bar -> anti-K*0- eta(eeg),1.25E+05,1,1.51E-02,,7.41E-08,1.40E-04,100000,5.21E-02,,,,,,,
300748,B0 -> K*0 pi0(eeg),1.24E+05,1,8.82E-03,,2.58E-08,2.82E-05,100000,1.05E-02,,,,,,,
300749,B0bar -> anti-K*0- pi0(eeg),1.24E+05,1,8.65E-03,,2.58E-08,2.78E-05,100000,1.04E-02,,,,,,,
