SIGNAL,,,,,AOD,,DAOD,NTUP
300578,B+ -> K+ ee,MC15.300578.Py8BEG_A14_CTEQ6L1_Bp_Kp_e4e4.py,plots,log,mc16_13TeV.300578.Py8BEG_A14_CTEQ6L1_Bp_Kp_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300579,B- -> K- ee,MC15.300579.Py8BEG_A14_CTEQ6L1_Bm_Km_e4e4.py,plots,log,mc16_13TeV.300579.Py8BEG_A14_CTEQ6L1_Bm_Km_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300580,B+ -> K+ J/psi(ee),MC15.300580.Py8BEG_A14_CTEQ6L1_Bp_Kp_Jpsi_e4e4.py,plots,log,mc16_13TeV.300580.Py8BEG_A14_CTEQ6L1_Bp_Kp_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300581,B- -> K- J/psi(ee),MC15.300581.Py8BEG_A14_CTEQ6L1_Bm_Km_Jpsi_e4e4.py,plots,log,mc16_13TeV.300581.Py8BEG_A14_CTEQ6L1_Bm_Km_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300582,B+ -> K+ psi(2S) (ee),MC15.300582.Py8BEG_A14_CTEQ6L1_Bp_Kp_psi2S_e4e4.py,plots,log,mc16_13TeV.300582.Py8BEG_A14_CTEQ6L1_Bp_Kp_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300583,B- -> K- psi(2S) (ee),MC15.300583.Py8BEG_A14_CTEQ6L1_Bm_Km_psi2S_e4e4.py,plots,log,mc16_13TeV.300583.Py8BEG_A14_CTEQ6L1_Bm_Km_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300584,B+ -> K+ mumu,MC15.300584.Py8BEG_A14_CTEQ6L1_Bp_Kp_mu4mu4.py,plots,log,mc16_13TeV.300584.Py8BEG_A14_CTEQ6L1_Bp_Kp_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300585,B- -> K- mumu,MC15.300585.Py8BEG_A14_CTEQ6L1_Bm_Km_mu4mu4.py,plots,log,mc16_13TeV.300585.Py8BEG_A14_CTEQ6L1_Bm_Km_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300586,B+ -> K+ J/psi(mumu),MC15.300586.Py8BEG_A14_CTEQ6L1_Bp_Kp_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300586.Py8BEG_A14_CTEQ6L1_Bp_Kp_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300587,B- -> K- J/psi(mumu),MC15.300587.Py8BEG_A14_CTEQ6L1_Bm_Km_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300587.Py8BEG_A14_CTEQ6L1_Bm_Km_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300588,B+ -> K+ psi(2S) (mumu),MC15.300588.Py8BEG_A14_CTEQ6L1_Bp_Kp_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300588.Py8BEG_A14_CTEQ6L1_Bp_Kp_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300589,B- -> K- psi(2S) mumu,MC15.300589.Py8BEG_A14_CTEQ6L1_Bm_Km_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300589.Py8BEG_A14_CTEQ6L1_Bm_Km_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300590,B0 -> K*0 ee,MC15.300590.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_e4e4.py,plots,log,mc16_13TeV.300590.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300591,B0bar -> anti-K*0 ee,MC15.300591.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_e4e4.py,plots,log,mc16_13TeV.300591.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300592,B0 -> K*0 J/psi(ee),MC15.300592.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_e4e4.py,plots,log,mc16_13TeV.300592.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300593,B0bar -> anti-K*0- J/psi(ee),MC15.300593.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_e4e4.py,plots,log,mc16_13TeV.300593.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300594,B0 -> K*0 psi(2S) (ee),MC15.300594.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_e4e4.py,plots,log,mc16_13TeV.300594.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300595,B0bar -> anti-K*0 psi(2S) (ee),MC15.300595.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_e4e4.py,plots,log,mc16_13TeV.300595.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300700,B0 -> K*0 mumu,MC15.300700.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_mu4mu4.py,plots,log,mc16_13TeV.300700.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300701,B0bar -> anti-K*0 mumu,MC15.300701.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_mu4mu4.py,plots,log,mc16_13TeV.300701.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300702,B0 -> K*0 J/psi(mumu),MC15.300702.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300702.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300703,B0bar -> anti-K*0- J/psi(mumu),MC15.300703.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300703.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300704,B0 -> K*0 psi(2S) (mumu),MC15.300704.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300704.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300705,B0bar -> anti-K*0 psi(2S) (mumu),MC15.300705.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300705.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300706,Bs -> phi ee,MC15.300706.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_e4e4.py,plots,log,mc16_13TeV.300706.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300707,Bsbar -> phi ee,MC15.300707.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_e4e4.py,plots,log,mc16_13TeV.300707.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300708,Bs -> phi J/psi(ee),MC15.300708.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_e4e4.py,plots,log,mc16_13TeV.300708.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300709,Bsbar -> phi J/psi(ee),MC15.300709.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_e4e4.py,plots,log,mc16_13TeV.300709.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300710,Bs ->phi psi(2S) (ee),MC15.300710.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_e4e4.py,plots,log,mc16_13TeV.300710.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300711,Bsbar -> phi psi(2S) (ee),MC15.300711.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_e4e4.py,plots,log,mc16_13TeV.300711.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300712,Bs -> phi mumu,MC15.300712.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_mu4mu4.py,plots,log,mc16_13TeV.300712.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300713,Bsbar -> phi mumu,MC15.300713.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_mu4mu4.py,plots,log,mc16_13TeV.300713.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300714,Bs -> phi J/psi(mumu),MC15.300714.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300714.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
